seed,config,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,n_eval
42,E0 popularity,0.40451555904584274,0.35096884685448765,0.47777559634828703,0.3745222568926386,0.5950623343476981,0.4039155865521056,101870
42,E1 pure-collab,0.4367625404927849,0.3713886002713654,0.5204378128987925,0.3982790607995967,0.6353195248846569,0.42720072503928,101870
42,E2 pure-content,0.3915676843035241,0.31986111251351357,0.4766172572887013,0.3472108955991855,0.5959261804260332,0.3772138622600198,101870
42,E3 hybrid(a=.7),0.4095808383233533,0.339925633870742,0.4966624128791597,0.367939102077931,0.6181604005104545,0.398425981728264,101870
42,E4 hybrid-adaptA,0.42481594188671834,0.35940575019216403,0.5059880239520959,0.38552688213486075,0.6209875331304604,0.41442543853210356,101870
42,E6 hybrid-novis,0.4142730931579464,0.34459408171376515,0.4991656032197899,0.37190919392672833,0.6189064493962894,0.4020007845003489,101870
43,E0 popularity,0.40402473741042505,0.35097200655847577,0.4778050456464121,0.37467183482612804,0.5946205948758221,0.40394103832779615,101870
43,E1 pure-collab,0.43696868557966034,0.37158829441240243,0.5231864140571316,0.39929563802472073,0.6370275841759104,0.4279548748501419,101870
43,E2 pure-content,0.38677726514184746,0.31229788361430544,0.473750858937862,0.3402816817339,0.5952881122999902,0.3707979685401799,101870
43,E3 hybrid(a=.7),0.4111122018258565,0.33848372697182727,0.49873368018062236,0.36668794866649884,0.6184352606262884,0.39672136922242357,101870
43,E4 hybrid-adaptA,0.42585648375380386,0.35958895035349997,0.5093550603710612,0.3864709021844497,0.6204868950623343,0.41441882999236723,101870
43,E6 hybrid-novis,0.4149307941494061,0.3474967868679831,0.5003239422793757,0.37496820806168607,0.6176990281731619,0.40444990130898145,101870
44,E0 popularity,0.40462353980563465,0.3509635522533752,0.477608716992245,0.37442475393312463,0.5956513203101993,0.403988557575546,101870
44,E1 pure-collab,0.4358594286836164,0.36929289123187886,0.5205261607931677,0.3964738727661232,0.6357219986256994,0.4254225190947342,101870
44,E2 pure-content,0.3912437420241484,0.31962616227930046,0.4754491017964072,0.34673317764587874,0.5969372729949937,0.3772305538210935,101870
44,E3 hybrid(a=.7),0.4126337488956513,0.34364540457499226,0.49750662609207813,0.3709863860201984,0.6194954353587906,0.4016063793985887,101870
44,E4 hybrid-adaptA,0.4290075586531854,0.3646840934258653,0.5098753313046039,0.39071052907546616,0.6233631098458821,0.4192281940208444,101870
44,E6 hybrid-novis,0.4191420437812899,0.3554777759508944,0.5010110925689605,0.38179296953549385,0.6209384509669186,0.4118881831273664,101870
45,E0 popularity,0.4050358299793855,0.3513365979917817,0.47803082359870425,0.37478170298010965,0.5945322469814469,0.4039758367126771,101870
45,E1 pure-collab,0.43274761951506824,0.3652579805464197,0.5186217728477471,0.3928660784201828,0.6353686070481986,0.4222771119095022,101870
45,E2 pure-content,0.39108667910081474,0.31448703163397634,0.47683321880828505,0.342112955988406,0.5958770982624914,0.37197137830672283,101870
45,E3 hybrid(a=.7),0.41128889761460685,0.3389212183071086,0.4972219495435359,0.36656840192171125,0.6177186610385785,0.3968136280790952,101870
45,E4 hybrid-adaptA,0.4280553646804751,0.36282394322807354,0.5107588102483558,0.38945394523996973,0.6227839403160891,0.41760549603357255,101870
45,E6 hybrid-novis,0.42032001570629235,0.35343000958033555,0.5010307254343771,0.37942080416701857,0.6200647884558751,0.40930205335992426,101870
46,E0 popularity,0.40487876705605186,0.3511540183534117,0.47777559634828703,0.37456822840071075,0.5955629724158241,0.4040651439943556,101870
46,E1 pure-collab,0.43673309119465986,0.3683852472838226,0.5219986256994208,0.3958389563663296,0.635015215470698,0.4242983778694805,101870
46,E2 pure-content,0.3906154903308138,0.32128660667574077,0.4748502994011976,0.34840171091485445,0.5970158044566605,0.379085238498512,101870
46,E3 hybrid(a=.7),0.4092765289093943,0.34296040563289454,0.4936782173358202,0.37011343960046833,0.6156866594679493,0.4007809957834075,101870
46,E4 hybrid-adaptA,0.4270148228133896,0.3617236277528309,0.5099538627662707,0.38842267742639575,0.6239815451065083,0.4170828481762715,101870
46,E6 hybrid-novis,0.4178659075292039,0.35452314290127707,0.4991656032197899,0.3806302067659754,0.618258564837538,0.41053910242327335,101870
